Column Concept,Section,2012 Column Name,2013 Column Name,2014-2022 Column Name,2023 Column Name,2024 Column Name,2025 Column Name,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
Detainer Prepared Criminality,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Detainer Prepared Criminality,detainers_23_25.Detainer Prepared Criminality,detainers_23_25.Detainer Prepared Criminality,NEW - potentially very useful,,,,,,,,,,,,,,,,,
Final Order Yes No (detainers),detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Final Order Yes No,detainers_23_25.Final Order Yes No,detainers_23_25.Final Order Yes No,TARGET - also appears here in 2023+,,,,,,,,,,,,,,,,,
Immigration Fraud Yes No,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Immigration Fraud Yes No,detainers_23_25.Immigration Fraud Yes No,detainers_23_25.Immigration Fraud Yes No,NEW,,,,,,,,,,,,,,,,,
Significant Risk Yes No,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Significant Risk Yes No,detainers_23_25.Significant Risk Yes No,detainers_23_25.Significant Risk Yes No,NEW,,,,,,,,,,,,,,,,,
Deportation Ordered Yes No,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Deportation Ordered Yes No,detainers_23_25.Deportation Ordered Yes No,detainers_23_25.Deportation Ordered Yes No,NEW,,,,,,,,,,,,,,,,,
MSC Charge (detainers),detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Most Serious Conviction MSC Charge,detainers_23_25.Most Serious Conviction MSC Charge,detainers_23_25.Most Serious Conviction MSC Charge,NEW,,,,,,,,,,,,,,,,,
MSC Sentence Days,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.MSC Sentence Days,detainers_23_25.MSC Sentence Days,detainers_23_25.MSC Sentence Days,NEW,,,,,,,,,,,,,,,,,
MSC Sentence Months,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.MSC Sentence Months,detainers_23_25.MSC Sentence Months,detainers_23_25.MSC Sentence Months,NEW,,,,,,,,,,,,,,,,,
MSC Sentence Years,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.MSC Sentence Years,detainers_23_25.MSC Sentence Years,detainers_23_25.MSC Sentence Years,NEW,,,,,,,,,,,,,,,,,
Facility State,detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Facility State,detainers_23_25.Facility State,detainers_23_25.Facility State,NEW,,,,,,,,,,,,,,,,,
Birth Country (detainers),detainers_23_25,NOT PRESENT,NOT PRESENT,NOT PRESENT,detainers_23_25.Birth Country,detainers_23_25.Birth Country,detainers_23_25.Birth Country,NEW - fills gap from removals table,,,,,,,,,,,,,,,,,
